WARN 15:14:12,548 [main] ConsistencyValidator | Cannot find calibration info for query 1 and endpoint 2
WARN 15:14:12,564 [main] ConsistencyValidator | Cannot find calibration info for query 1 and endpoint 2
DEBUG 15:14:12,600 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 15:14:12,601 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 15:14:12,601 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 15:14:12,601 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 15:14:12,601 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 15:14:12,601 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 2
DEBUG 15:14:12,602 [main] DefaultTpsRouter | Cannot increase tps at node kernel-1 to 5.000
DEBUG 15:14:12,602 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
DEBUG 15:14:12,602 [main] DefaultTpsRouter | Total missing tps is 3.000
DEBUG 15:14:12,602 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 10
DEBUG 15:14:12,603 [main] DefaultTpsRouter | Node kernel-2 is capable to produce more tps
DEBUG 15:14:12,603 [main] DefaultTpsRouter | New desired tps for node is 8.000
DEBUG 15:14:12,603 [main] DefaultTpsRouter | Tps on node kernel-2 will be changed to 8.000
DEBUG 15:14:12,603 [main] DefaultTpsRouter | Total missing tps 10
DEBUG 15:14:12,611 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 15:14:12,611 [main] DefaultTpsRouter | Max tps for node kernel-1 cannot be detected. Using desired tps as max
DEBUG 15:14:12,611 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 15:14:12,611 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 15:14:12,611 [main] DefaultTpsRouter | For node kernel-1 desired tps 10.000 max tps 10
DEBUG 15:14:12,611 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 15:14:12,612 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 15:14:12,613 [main] DefaultTpsRouter | Max tps for node kernel-1 is 11
DEBUG 15:14:12,613 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 15:14:12,613 [main] DefaultTpsRouter | Max tps for node kernel-2 is 11
DEBUG 15:14:12,613 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 15:14:12,613 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 11
DEBUG 15:14:12,613 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 15:14:12,613 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 11
DEBUG 15:14:12,613 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 15:14:12,614 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 15:14:12,614 [main] DefaultTpsRouter | Max tps for node kernel-1 cannot be detected. Using desired tps as max
DEBUG 15:14:12,614 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 15:14:12,615 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 15:14:12,615 [main] DefaultTpsRouter | Max tps for node kernel-2 cannot be detected. Using desired tps as max
DEBUG 15:14:12,615 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 15:14:12,615 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 15:14:12,615 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 10
DEBUG 15:14:12,615 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 15:14:12,615 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 10
DEBUG 15:14:12,615 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 15:14:12,616 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 15:14:12,617 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 15:14:12,617 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 15:14:12,617 [main] DefaultTpsRouter | Max tps for node kernel-2 is 2
DEBUG 15:14:12,617 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 15:14:12,617 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 2
DEBUG 15:14:12,617 [main] DefaultTpsRouter | Cannot increase tps at node kernel-1 to 5.000
DEBUG 15:14:12,617 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
DEBUG 15:14:12,617 [main] DefaultTpsRouter | Total missing tps is 3.000
DEBUG 15:14:12,617 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 2
DEBUG 15:14:12,618 [main] DefaultTpsRouter | Cannot increase tps at node kernel-2 to 5.000
DEBUG 15:14:12,618 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
DEBUG 15:14:12,618 [main] DefaultTpsRouter | Total missing tps is 6.000
DEBUG 15:14:12,623 [main] DefaultWorkloadController | Workload start requested
WARN 19:42:30,512 [main] ConsistencyValidator | Cannot find calibration info for query 1 and endpoint 2
WARN 19:42:30,528 [main] ConsistencyValidator | Cannot find calibration info for query 1 and endpoint 2
DEBUG 19:42:30,565 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:42:30,566 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 19:42:30,566 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:42:30,566 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 19:42:30,566 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:42:30,567 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 2
DEBUG 19:42:30,567 [main] DefaultTpsRouter | Cannot increase tps at node kernel-1 to 5.000
DEBUG 19:42:30,567 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
DEBUG 19:42:30,567 [main] DefaultTpsRouter | Total missing tps is 3.000
DEBUG 19:42:30,567 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 10
DEBUG 19:42:30,568 [main] DefaultTpsRouter | Node kernel-2 is capable to produce more tps
DEBUG 19:42:30,568 [main] DefaultTpsRouter | New desired tps for node is 8.000
DEBUG 19:42:30,568 [main] DefaultTpsRouter | Tps on node kernel-2 will be changed to 8.000
DEBUG 19:42:30,568 [main] DefaultTpsRouter | Total missing tps 10
DEBUG 19:42:30,575 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:42:30,585 [main] DefaultTpsRouter | Max tps for node kernel-1 cannot be detected. Using desired tps as max
DEBUG 19:42:30,585 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 19:42:30,585 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:42:30,585 [main] DefaultTpsRouter | For node kernel-1 desired tps 10.000 max tps 10
DEBUG 19:42:30,585 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 19:42:30,586 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:42:30,586 [main] DefaultTpsRouter | Max tps for node kernel-2 is 11
DEBUG 19:42:30,587 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:42:30,587 [main] DefaultTpsRouter | Max tps for node kernel-1 is 11
DEBUG 19:42:30,587 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:42:30,587 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 11
DEBUG 19:42:30,587 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 19:42:30,587 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 11
DEBUG 19:42:30,587 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 19:42:30,588 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:42:30,588 [main] DefaultTpsRouter | Max tps for node kernel-2 cannot be detected. Using desired tps as max
DEBUG 19:42:30,588 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 19:42:30,588 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:42:30,589 [main] DefaultTpsRouter | Max tps for node kernel-1 cannot be detected. Using desired tps as max
DEBUG 19:42:30,589 [main] DefaultTpsRouter | Max tps for node kernel-1 is 10
DEBUG 19:42:30,589 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:42:30,589 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 10
DEBUG 19:42:30,589 [main] DefaultTpsRouter | Node kernel-2 tps should not be changed
DEBUG 19:42:30,589 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 10
DEBUG 19:42:30,589 [main] DefaultTpsRouter | Node kernel-1 tps should not be changed
DEBUG 19:42:30,591 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:42:30,591 [main] DefaultTpsRouter | Max tps for node kernel-2 is 2
DEBUG 19:42:30,591 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:42:30,591 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 19:42:30,591 [main] DefaultTpsRouter | Recalculating desired tps per node...
DEBUG 19:42:30,591 [main] DefaultTpsRouter | For node kernel-2 desired tps 5.000 max tps 2
DEBUG 19:42:30,592 [main] DefaultTpsRouter | Cannot increase tps at node kernel-2 to 5.000
DEBUG 19:42:30,592 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
DEBUG 19:42:30,592 [main] DefaultTpsRouter | Total missing tps is 3.000
DEBUG 19:42:30,592 [main] DefaultTpsRouter | For node kernel-1 desired tps 5.000 max tps 2
DEBUG 19:42:30,592 [main] DefaultTpsRouter | Cannot increase tps at node kernel-1 to 5.000
DEBUG 19:42:30,592 [main] DefaultTpsRouter | 3.000 tps should be produced by other nodes
DEBUG 19:42:30,592 [main] DefaultTpsRouter | Total missing tps is 6.000
DEBUG 19:42:30,598 [main] DefaultWorkloadController | Workload start requested
WARN 19:52:35,410 [main] ConsistencyValidator | Cannot find calibration info for query 1 and endpoint 2
WARN 19:52:35,427 [main] ConsistencyValidator | Cannot find calibration info for query 1 and endpoint 2
DEBUG 19:52:35,476 [main] DefaultTpsRouter | Going to detect max tps for node kernel-2
DEBUG 19:52:35,477 [main] DefaultTpsRouter | Max tps for node kernel-2 is 10
DEBUG 19:52:35,477 [main] DefaultTpsRouter | Going to detect max tps for node kernel-1
DEBUG 19:52:35,477 [main] DefaultTpsRouter | Max tps for node kernel-1 is 2
DEBUG 19:52:35,478 [main] DefaultTpsRouter | Recalculating desired tps per node...
